Frequency_Hz,C3,C4,O1,O2,Fp1,Fp2,Cz,Pz
2.000000e+01,8.401812e+00,8.357873e+00,1.748187e+01,1.352963e+01,1.044550e+01,7.893287e+00,8.724486e+00,8.989184e+00
2.025000e+01,1.098755e+01,9.996556e+00,1.513269e+01,1.472152e+01,7.856576e+00,4.742122e+00,1.172994e+01,1.098188e+01
2.050000e+01,1.279526e+01,9.013945e+00,2.003110e+01,1.707618e+01,6.321185e+00,4.334730e+00,1.187186e+01,1.353513e+01
2.075000e+01,1.004977e+01,5.891769e+00,1.857663e+01,1.360540e+01,6.560509e+00,5.106146e+00,8.728914e+00,8.675077e+00
2.100000e+01,8.154277e+00,4.998973e+00,1.135361e+01,1.108993e+01,8.066394e+00,5.331056e+00,8.106343e+00,5.843478e+00
2.125000e+01,7.554442e+00,6.288482e+00,1.490656e+01,1.897533e+01,6.960862e+00,5.107852e+00,7.127588e+00,7.309738e+00
2.150000e+01,5.963935e+00,6.481687e+00,1.586288e+01,1.933453e+01,8.687930e+00,5.521077e+00,5.835667e+00,6.562980e+00
2.175000e+01,9.753142e+00,8.485856e+00,1.675980e+01,1.558896e+01,8.301204e+00,5.218305e+00,7.447682e+00,8.871838e+00
2.200000e+01,1.041839e+01,6.546051e+00,1.602664e+01,1.415311e+01,7.908274e+00,5.769919e+00,7.929263e+00,8.215499e+00
2.225000e+01,8.523967e+00,4.890012e+00,1.291208e+01,1.429081e+01,9.806394e+00,5.230146e+00,6.868316e+00,6.516440e+00
2.250000e+01,8.474890e+00,7.592920e+00,1.244312e+01,1.452544e+01,8.406190e+00,4.437539e+00,7.536397e+00,6.732108e+00
2.275000e+01,9.520030e+00,9.581072e+00,1.311326e+01,1.256840e+01,5.887843e+00,3.850241e+00,8.473645e+00,7.044984e+00
2.300000e+01,1.215022e+01,9.404439e+00,1.215996e+01,1.321294e+01,8.228259e+00,4.881389e+00,9.283113e+00,7.088718e+00
2.325000e+01,1.147197e+01,8.429546e+00,1.003779e+01,1.290884e+01,8.144139e+00,4.864445e+00,1.027666e+01,7.945238e+00
2.350000e+01,1.049841e+01,7.325657e+00,1.328951e+01,1.382018e+01,7.294033e+00,4.300830e+00,7.995077e+00,9.003059e+00
2.375000e+01,1.094092e+01,5.713580e+00,1.287590e+01,1.355333e+01,8.199783e+00,4.853214e+00,7.653709e+00,7.441065e+00
2.400000e+01,1.163494e+01,6.130614e+00,1.169498e+01,1.418603e+01,7.838901e+00,5.558812e+00,8.867996e+00,8.132874e+00
2.425000e+01,1.110301e+01,5.302579e+00,1.402124e+01,1.457298e+01,6.229570e+00,4.896650e+00,7.283309e+00,8.645820e+00
2.450000e+01,1.147064e+01,6.355344e+00,1.303635e+01,1.191039e+01,7.063896e+00,3.448819e+00,7.599044e+00,8.886833e+00
2.475000e+01,9.005957e+00,6.305523e+00,1.248095e+01,1.122830e+01,5.901274e+00,2.832625e+00,6.508027e+00,8.371941e+00
2.500000e+01,6.172718e+00,5.561308e+00,9.011198e+00,7.077270e+00,5.860632e+00,4.252219e+00,5.804019e+00,5.408695e+00
2.525000e+01,6.277362e+00,4.693187e+00,5.618568e+00,6.859955e+00,7.401675e+00,4.553137e+00,5.978159e+00,3.909643e+00
2.550000e+01,6.703561e+00,5.207028e+00,8.564751e+00,9.543941e+00,8.191019e+00,4.154725e+00,6.434601e+00,5.535854e+00
2.575000e+01,5.923053e+00,4.734742e+00,9.990655e+00,1.008591e+01,7.958809e+00,4.590601e+00,6.564078e+00,5.422901e+00
2.600000e+01,5.108865e+00,4.489193e+00,1.007610e+01,1.068728e+01,6.180181e+00,3.837596e+00,5.961884e+00,5.540088e+00
2.625000e+01,5.110368e+00,4.223770e+00,8.547057e+00,9.395780e+00,6.730114e+00,5.001860e+00,5.076831e+00,5.265688e+00
2.650000e+01,5.654731e+00,4.004482e+00,6.912848e+00,8.927462e+00,8.268574e+00,3.840160e+00,5.148984e+00,4.742556e+00
2.675000e+01,5.896513e+00,4.746149e+00,7.206852e+00,8.764728e+00,8.802940e+00,3.142535e+00,6.631285e+00,5.078788e+00
2.700000e+01,5.804218e+00,3.630675e+00,8.323419e+00,7.292968e+00,7.191836e+00,4.565160e+00,5.647311e+00,4.687350e+00
2.725000e+01,4.595999e+00,2.936427e+00,6.924122e+00,7.718806e+00,5.101355e+00,5.129282e+00,4.785561e+00,3.834685e+00
2.750000e+01,5.512718e+00,2.394092e+00,6.918969e+00,8.540995e+00,5.527708e+00,3.958032e+00,4.800501e+00,4.495282e+00
2.775000e+01,5.181674e+00,2.493352e+00,5.621785e+00,6.721467e+00,5.451676e+00,3.082844e+00,3.863198e+00,3.548266e+00
2.800000e+01,3.939777e+00,3.800160e+00,4.446252e+00,6.823935e+00,7.384825e+00,4.447643e+00,3.950878e+00,3.234139e+00
2.825000e+01,3.544320e+00,3.968129e+00,4.136591e+00,7.828406e+00,8.985776e+00,5.174524e+00,4.461706e+00,2.853033e+00
2.850000e+01,2.906245e+00,2.631968e+00,5.225931e+00,7.052227e+00,8.414732e+00,4.672036e+00,3.418426e+00,2.319630e+00
2.875000e+01,4.405697e+00,2.707643e+00,5.919796e+00,6.306790e+00,7.910685e+00,3.976251e+00,3.875477e+00,3.056984e+00
2.900000e+01,4.720191e+00,2.381995e+00,5.520366e+00,4.870025e+00,5.334357e+00,3.169837e+00,3.515324e+00,2.706489e+00
2.925000e+01,4.301919e+00,2.202343e+00,5.052345e+00,4.961855e+00,4.067877e+00,3.003746e+00,3.616681e+00,3.008316e+00
2.950000e+01,3.021387e+00,2.682262e+00,3.930599e+00,5.868736e+00,4.988654e+00,3.634544e+00,3.644739e+00,2.952255e+00
2.975000e+01,2.802018e+00,3.100525e+00,4.333488e+00,6.150436e+00,5.084427e+00,4.417871e+00,4.285613e+00,3.073799e+00
3.000000e+01,3.001247e+00,2.950524e+00,3.130025e+00,4.171991e+00,6.334119e+00,3.906123e+00,4.034205e+00,3.052355e+00
3.025000e+01,2.334042e+00,2.259125e+00,4.006920e+00,5.451510e+00,6.200712e+00,2.802011e+00,2.915911e+00,2.334567e+00
3.050000e+01,2.026430e+00,1.566593e+00,2.632562e+00,4.268894e+00,6.576460e+00,3.253848e+00,2.497969e+00,1.305962e+00
3.075000e+01,3.133736e+00,2.210427e+00,3.893422e+00,5.263743e+00,6.516179e+00,3.541578e+00,2.799858e+00,2.034041e+00
3.100000e+01,3.923679e+00,2.359161e+00,5.431542e+00,5.745174e+00,8.118904e+00,4.476581e+00,3.228990e+00,2.600796e+00
3.125000e+01,3.597011e+00,2.801319e+00,4.927516e+00,5.769738e+00,6.819932e+00,4.450044e+00,3.360484e+00,3.228051e+00
3.150000e+01,3.024738e+00,2.521633e+00,4.379067e+00,5.123514e+00,6.365233e+00,2.252405e+00,3.074799e+00,2.675926e+00
3.175000e+01,5.296693e+00,2.495416e+00,4.283698e+00,5.770828e+00,8.050893e+00,2.561986e+00,3.950728e+00,3.435171e+00
3.200000e+01,4.034175e+00,2.123225e+00,3.752703e+00,5.482631e+00,8.043946e+00,2.695704e+00,3.453245e+00,3.136224e+00
3.225000e+01,3.433189e+00,2.295022e+00,3.852032e+00,3.828056e+00,7.946714e+00,2.456419e+00,3.595222e+00,2.901426e+00
3.250000e+01,2.858833e+00,2.161137e+00,3.738077e+00,4.185135e+00,6.810057e+00,2.600462e+00,2.744942e+00,2.255577e+00
3.275000e+01,1.704707e+00,2.110935e+00,2.548217e+00,4.469491e+00,6.304828e+00,2.587139e+00,1.871982e+00,1.391279e+00
3.300000e+01,1.914404e+00,2.376650e+00,1.861806e+00,3.613819e+00,6.055479e+00,2.674388e+00,2.615630e+00,1.721164e+00
3.325000e+01,2.984677e+00,2.036424e+00,2.281536e+00,3.637780e+00,6.761658e+00,3.228635e+00,3.090325e+00,2.106748e+00
3.350000e+01,2.443683e+00,1.854204e+00,2.431178e+00,3.283187e+00,6.138816e+00,3.128504e+00,2.396105e+00,1.883636e+00
3.375000e+01,2.981461e+00,2.017762e+00,2.850579e+00,3.294935e+00,5.747864e+00,3.248692e+00,3.049070e+00,2.184950e+00
